val_loss,val_acc,loss,acc
0.8151283264160156,0.36794355511665344,0.8002568200523958,0.4699646532535553
0.8783820867538452,0.41260161995887756,0.7137498390674591,0.5669999718666077
0.8316500782966614,0.5131048560142517,0.6407718822360039,0.6380000114440918
0.7878665924072266,0.5701219439506531,0.6287831953167915,0.671999990940094
0.6689150929450989,0.6159273982048035,0.6109841489719658,0.6991418600082397
0.7578359842300415,0.6321138143539429,0.6081199231743812,0.7145000100135803
0.7986501455307007,0.6743951439857483,0.5953780281543731,0.7289999723434448
0.5641973614692688,0.672764241695404,0.5987476964962115,0.7274103760719299
0.46838611364364624,0.6656504273414612,0.580779663324356,0.7444999814033508
0.4847816526889801,0.6854838728904724,0.6047257232972915,0.7274103760719299
0.820591926574707,0.6554877758026123,0.5908464965224266,0.7394999861717224
0.7806379199028015,0.6885080933570862,0.5704722782969475,0.7490000128746033
